belongs_to_collection,genres,original_language,overview,popularity,production_companies,release_date,revenue,spoken_languages,title,vote_average,vote_count,release_year,return,cast,director
The Lawnmower Man Collection,"['Action', 'Science Fiction']",en,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2.49535,['New Line Cinema'],1996-01-12,2409225.0,"['English', 'Magyar']",Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996,0.0,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget', 'Camille Cooper', 'Patrick LaBrecque', 'Crystal Celeste Grant', 'Sean P. Young', 'Mathew Valencia', 'Kevin Conway', ""Trever O'Brien"", 'Richard Fancy', 'Castulo Guerra', 'Molly Shannon', 'Ellis E. Williams']",Farhad Mann
Friday Collection,['Comedy'],en,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,['New Line Cinema'],1995-04-26,28215918.0,['English'],Friday,7.0,513.0,1995,8.061690857142857,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.', 'John Witherspoon', 'Anna Maria Horsford', 'Regina King', 'Paula Jai Parker', 'Faizon Love', 'DJ Pooh', 'Tony Cox', 'Anthony Johnson', 'Bernie Mac', 'Meagan Good', 'Terri J. Vaughn', 'F. Gary Gray', 'Reynaldo Rey', 'Michael Clarke Duncan']",F. Gary Gray
From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']",en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",1996-01-19,25836616.0,"['English', 'Español']",From Dusk Till Dawn,6.9,1644.0,1996,1.3598218947368421,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu', 'Salma Hayek', 'Cheech Marin', 'Danny Trejo', 'Tom Savini', 'Fred Williamson', 'Michael Parks', 'Brenda Hillhouse', 'John Saxon', 'Marc Lawrence', 'Kelly Preston', 'John Hawkes', 'Tito Larriva', 'Peter Atanasoff', 'Johnny Vatos Hernandez', 'Aimee Graham', 'Heidi McNeal', 'Ernest M. Garcia', 'Gregory Nicotero', 'Cristos', 'Mike Moroff', 'Tia Texada', 'Janine Jordae', 'Ungela Brockman', 'Michelle Berube', 'Michael McKay', 'Jake McKinnon', 'Walter Phelan', 'Wayne Toth']",Robert Rodriguez
Screamers Collection,"['Horror', 'Science Fiction']",en,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']",1995-09-08,5781885.0,['English'],Screamers,6.1,154.0,1995,0.28909425,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer', 'Liliana Komorowska', 'Michael Caloz', 'Jason Cavalier', 'Ron White', 'Charles Edwin Powell']",Christian Duguay
The Muppet Collection,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",en,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",6.902423,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",1996-02-16,34327391.0,['English'],Muppet Treasure Island,6.5,93.0,1996,0.0,"['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders', 'Billy Connolly', 'Dave Goelz', 'Frank Oz', 'Steve Whitmire', 'David Nicholls', 'Frederick Warder', 'Harry Jones', 'Peter Geeves', 'Jessica Hamilton']",Brian Henson
The Neverending Story Collection,['Fantasy'],en,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,6.252377,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']",1994-10-26,0.0,['English'],The Neverending Story III: Escape from Fantasia,4.4,105.0,1994,0.0,"['Jason James Richter', 'Melody Kay', 'Kevin McNulty', 'Tracey Ellis', 'Jack Black', 'Carole Finn', 'Ryan Bollman', 'Freddie Jones', 'Julie Cox', 'Moya Brady', 'Tony Robinson', 'Thomas Petruo', 'Nicole Parker', 'Adrien Dorval']",Peter MacDonald
Bad Boys Collection,"['Action', 'Comedy', 'Crime', 'Thriller']",en,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",9.262184,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",1995-04-07,141407024.0,['English'],Bad Boys,6.5,1729.0,1995,7.442474947368421,"['Will Smith', 'Martin Lawrence', 'Téa Leoni', 'Tchéky Karyo', 'Joe Pantoliano', 'Marg Helgenberger', 'Michael Imperioli', 'Theresa Randle', 'Anna Levine', 'Nestor Serrano', 'Kevin Corrigan', 'Julio Oscar Mechoso', 'Saverio Guerra', 'Vic Manni', 'Frank John Hughes', 'Mike Kirton', 'Emmanuel Xuereb', 'Ralph Gonzalez', 'John Salley', 'Lisa Boyle', 'Marc Macaulay', 'Karen Alexander', 'Heather Davis', 'Buddy Bolton', 'Will Knickerbocker', 'Tiffany Samuels', 'Cory Hodges', 'Scott Cumberbatch', 'Michael Taliferro', 'Fawn Reed', 'Joey Romano', 'Sam Ayers']",Michael Bay
Batman Collection,"['Action', 'Crime', 'Fantasy']",en,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,"['Warner Bros.', 'Polygram Filmed Entertainment']",1995-06-16,336529144.0,['English'],Batman Forever,5.2,1529.0,1995,3.36529144,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell"", 'Michael Gough', 'Pat Hingle', 'Drew Barrymore', 'Debi Mazar', 'Elizabeth Sanders', 'Rene Auberjonois', 'Joe Grifasi', 'Philip Moon', 'Jessica Tuck', 'Dennis Paladino', 'Don Wilson', 'Bob Zmuda']",Joel Schumacher
Brooklyn Cigar Store Collection,['Comedy'],en,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,"['Miramax Films', 'InterAL']",1995-09-15,1275000.0,['English'],Blue in the Face,6.8,28.0,1995,0.6375,"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox', 'Roseanne Barr', 'Lily Tomlin', 'Giancarlo Esposito', 'José Zúñiga', 'Madonna', 'Mira Sorvino', 'Keith David', 'Victor Argo', 'Jim Jarmusch', 'Jared Harris', 'Mel Gorham', 'Malik Yoba', 'John Lurie', 'Stephen Gevedon', 'Sharif Rashed', 'Peggy Gormley', 'RuPaul']",Paul Auster
Casper Collection,"['Fantasy', 'Comedy', 'Family']",en,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",12.812539,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",1995-05-26,287928194.0,['English'],Casper,6.0,1045.0,1995,5.75856388,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty', 'Eric Idle', 'Joe Nipote', 'Joe Alaskey', 'Brad Garrett', 'Garette Ratliff Henson', 'Jessica Wesson', 'Amy Brenneman', 'Malachi Pearson', 'Chauncey Leopardi', 'Spencer Vrooman', 'Ben Stein', 'Don Novello', 'Fred Rogers', 'Terry Murphy', 'Ernestine Mercer', 'Doug Bruckner', 'John Kassir', 'Wesley Thompson', 'Michael Dubrow', 'J.J. Anderson', 'Jess Harnell', 'Michael McCarty', 'Micah Winkelspecht', 'Mike Simmrin', 'Devon Sawa', 'Dan Aykroyd', 'Rodney Dangerfield', 'Clint Eastwood', 'Mel Gibson', 'Elise Main', ""Tony Stef'Ano""]",Brad Silberling
Mexico Trilogy,"['Thriller', 'Action', 'Crime']",en,A gunslinger is embroiled in a war with a local drug runner.,6.950458,"['Columbia Pictures', 'Los Hooligans Productions']",1995-08-25,25405445.0,['English'],Desperado,6.8,898.0,1995,3.6293492857142855,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Cheech Marin', 'Steve Buscemi', 'Carlos Andrés Gómez', 'Quentin Tarantino', 'Tito Larriva', 'Angel Aviles', 'Danny Trejo', 'Abraham Verduzco', 'Carlos Gallardo', 'Albert Michel Jr.', 'David Alvarado', 'Angela Lanza', 'Elizabeth Rodriguez']",Robert Rodriguez
Die Hard Collection,"['Action', 'Thriller']",en,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",1995-05-19,366101666.0,"['English', 'Deutsch', 'Română']",Die Hard: With a Vengeance,6.9,2094.0,1995,4.067796288888889,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp', 'Larry Bryggman', 'Anthony Peck', 'Nicholas Wyman', 'Sam Phillips', 'Kevin Chamberlin', 'Sharon Washington', 'Stephen Pearlman', 'Michael Alexander Jackson', 'Aldis Hodge', 'Mischa Hausserman', 'Michael Cristofer', 'Tony Halme']",John McTiernan
Teenage Apocalypse Trilogy,"['Action', 'Comedy', 'Crime', 'Drama']",en,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.",7.120806,"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']",1995-10-27,0.0,['English'],The Doom Generation,5.6,57.0,1995,0.0,"['Rose McGowan', 'James Duval', 'Johnathon Schaech', 'Cress Williams', 'Dustin Nguyen', 'Margaret Cho', 'Christopher Knight', 'Nicky Katt', 'Perry Farrell', 'Parker Posey', 'Salvator Xuereb', 'Heidi Fleiss', 'Lauren Tewes', 'Amanda Bearse']",Gregg Araki
Free Willy Collection,['Adventure'],en,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,7.575098,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']",1995-07-19,0.0,"['English', 'Bahasa indonesia', 'Bahasa melayu']",Free Willy 2 - The Adventure Home,5.5,130.0,1995,0.0,"['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson', 'August Schellenberg', 'Mary Kate Schellhardt', 'Francis Capra', 'Mykelti Williamson', 'Elizabeth Peña', 'Jon Tenney', 'M. Emmet Walsh']",Dwight H. Little
Power Rangers Collection,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",en,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",7.024227,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']",1995-06-30,66000000.0,['English'],Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995,4.4,"['Amy Jo Johnson', 'Jason David Frank', 'David Yost', 'Johnny Yong Bosch', 'Steve Cardenas', 'Karan Ashley', 'Paul Schrier', 'Jason Narvy', 'Paul Freeman', 'Gabrielle Fitzpatrick', 'Jamie Croft', 'Peter Mochrie']",Bryan Spicer
Síť (kolekce),"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",en,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",13.304342,['Columbia Pictures'],1995-07-28,110627965.0,"['English', 'Español']",The Net,5.6,359.0,1995,5.028543863636363,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Wendy Gazelle', 'Ken Howard', 'Diane Baker', 'Ray McKinnon', 'Daniel Schorr', 'L. Scott Caldwell', 'Robert Gossett', 'Kristina Krofft', 'Tony Perez', 'Gene Kirkwood', 'Christopher Darga', 'Charles Winkler', 'Julia Pearlstein', 'Rick Snyder', 'Gerald Berns', 'Tannis Benedict', 'Vaughn Armstrong', 'Wren T. Brown', 'Lynn Blades', 'Israel Juarbe', 'Julia Vera', 'Lewis Dix Jr.', 'Lili Flanders', 'Adam Winkler', 'Brian E. Frankish', 'Wanda-Lee Evans', 'David Winkler', 'Andrew Amador', 'Juan García']",Irwin Winkler
The Prophecy Collection,"['Fantasy', 'Horror', 'Thriller']",en,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",10.187623,['Dimension Films'],1995-09-01,16.0,['English'],The Prophecy,6.4,139.0,1995,2.0,"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen', 'Eric Stoltz', 'Adam Goldberg', 'Viggo Mortensen', 'Amanda Plummer', 'Shawn Nelson', 'Emily Conforto']",Gregory Widen
Showgirls Collection,['Drama'],en,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,17.502375,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']",1995-09-22,20350754.0,['English'],Showgirls,4.9,261.0,1995,0.4522389777777778,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi', 'Alan Rachins', 'Gina Ravera', 'Lin Tucci', 'Greg Travis', 'Al Ruscio', 'Patrick Bristow', 'William Shockley', 'Bobbie Phillips', 'Dewey Weber', 'Rena Riffel', 'Michelle Johnston', 'Lisa Boyle', 'Jack McGee', 'Caroline Key Johnson', 'Julie Pop', 'Jacob Witkin', 'Kristen Knittle', 'Carrie Ann Inaba']",Paul Verhoeven
Brooklyn Cigar Store Collection,"['Comedy', 'Drama']",en,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",5.552946,['Miramax Films'],1995-06-09,8349430.0,['English'],Smoke,7.2,115.0,1995,1.1927757142857143,"['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito', 'José Zúñiga', 'Stephen Gevedon', 'Jared Harris', 'Harold Perrineau', 'Forest Whitaker', 'Stockard Channing', 'Ashley Judd', 'Victor Argo', 'Michelle Hurst', 'Erica Gimpel', 'Malik Yoba']",Wayne Wang
Species Collection,"['Science Fiction', 'Horror', 'Action']",en,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",13.492845,['Metro-Goldwyn-Mayer (MGM)'],1995-07-07,113374103.0,['English'],Species,5.5,457.0,1995,3.2392600857142857,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen', 'Alfred Molina', 'Forest Whitaker', 'Michelle Williams', 'Marg Helgenberger', 'Jordan Lund', 'Herta Ware', 'William Utay', 'Don Fischer', 'Scott McKenna', 'Virginia Morris', 'Jayne Luke', 'David K. Schroeder', 'David Jensen', 'Esther Scott', 'Shirley Prestia', 'David Selburg', 'Melissa Bickerton', 'Lucy Rodriguez', 'Scott Sproule', 'Stogie Kenyatta', 'Gary Bullock', 'Susan Hauser', 'William Bumiller', 'Caroline Barclay', 'Matthew Ashford', 'Anthony Guidera', 'Sara Lise', 'Whip Hubley', 'Patricia Belcher', 'Richard Fancy', 'Leslie Ishii', 'Marliese Schneiderman', 'Robert Mendelson', 'Pamela Cook', 'Lisa Liberati', 'Ed Stone', 'Dendrie Taylor', 'Kurtis Burow', 'Dana Hee', 'Frank Welker', 'Justin Armao', 'Jellybean Benítez', 'Greg Bronson', 'Jimmy Chunga', 'James Ent', 'Roman Güttinger', 'Christopher Ivins', 'Zak Knutson', 'Coati Mundi', 'Jason Newell']",Roger Donaldson
Under Siege Collection,"['Action', 'Thriller']",en,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",7.490247,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",1995-07-13,104324083.0,['English'],Under Siege 2: Dark Territory,5.6,217.0,1995,1.7387347166666667,"['Steven Seagal', 'Eric Bogosian', 'Everett McGill', 'Katherine Heigl', 'Моррис Честнат', 'Peter Greene', 'Patrick Kilpatrick', 'Scott Sowers', 'Afifi Alaouie', 'Andy Romano', 'Brenda Bakke', 'Sandra Taylor']",Geoff Murphy
Burnt by the Sun Trilogy,['Drama'],ru,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...",2.486073,"['Canal+', 'Studio Trite', 'Caméra One']",1994-05-01,2616503.0,['Pусский'],Burnt by the Sun,6.7,35.0,1994,0.9344653571428572,"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkunaite', 'Vyacheslav Tikhonov', 'Nadezhda Mikhalkova', 'André Oumansky']",Nikita Mikhalkov
