title,genres,overview,director,production_companies
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",Farhad Mann,['New Line Cinema']
Friday,['Comedy'],"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",F. Gary Gray,['New Line Cinema']
From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",Robert Rodriguez,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']"
Screamers,"['Horror', 'Science Fiction']","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",Christian Duguay,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']"
Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']","After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",Brian Henson,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']"
The Neverending Story III: Escape from Fantasia,['Fantasy'],A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,Peter MacDonald,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']"
Bad Boys,"['Action', 'Comedy', 'Crime', 'Thriller']","Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",Michael Bay,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']"
Batman Forever,"['Action', 'Crime', 'Fantasy']","The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",Joel Schumacher,"['Warner Bros.', 'Polygram Filmed Entertainment']"
Blue in the Face,['Comedy'],"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",Paul Auster,"['Miramax Films', 'InterAL']"
Casper,"['Fantasy', 'Comedy', 'Family']","Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",Brad Silberling,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']"
Desperado,"['Thriller', 'Action', 'Crime']",A gunslinger is embroiled in a war with a local drug runner.,Robert Rodriguez,"['Columbia Pictures', 'Los Hooligans Productions']"
Die Hard: With a Vengeance,"['Action', 'Thriller']","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",John McTiernan,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']"
The Doom Generation,"['Action', 'Comedy', 'Crime', 'Drama']","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.",Gregg Araki,"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']"
Free Willy 2 - The Adventure Home,['Adventure'],Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,Dwight H. Little,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']"
Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",Bryan Spicer,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']"
The Net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",Irwin Winkler,['Columbia Pictures']
The Prophecy,"['Fantasy', 'Horror', 'Thriller']","The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",Gregory Widen,['Dimension Films']
Showgirls,['Drama'],A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,Paul Verhoeven,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']"
Smoke,"['Comedy', 'Drama']","Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",Wayne Wang,['Miramax Films']
Species,"['Science Fiction', 'Horror', 'Action']","In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",Roger Donaldson,['Metro-Goldwyn-Mayer (MGM)']
Under Siege 2: Dark Territory,"['Action', 'Thriller']","A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",Geoff Murphy,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']"
Burnt by the Sun,['Drama'],"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...",Nikita Mikhalkov,"['Canal+', 'Studio Trite', 'Caméra One']"
Before Sunrise,"['Drama', 'Romance']","A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Richard Linklater,"['Detour Film Production', 'Warner Bros.']"
Clerks,['Comedy'],"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",Kevin Smith,"['Miramax Films', 'View Askew Productions']"
Dumb and Dumber,['Comedy'],"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",Peter Farrelly,"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']"
A Goofy Movie,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']","Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",Kevin Lima,['Walt Disney Pictures']
Interview with the Vampire,"['Horror', 'Romance']","A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Neil Jordan,['Geffen Pictures']
Star Wars,"['Adventure', 'Action', 'Science Fiction']",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,George Lucas,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']"
Nemesis 2 - Nebula,"['Science Fiction', 'Action', 'Thriller']","It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end of the Cyborgs, and they inject it into a volunteer. When the Cyborgs learn of the woman and the baby they list both for termination.",Albert Pyun,"['Filmwerks', 'Imperial Entertainment']"
Once Were Warriors,['Drama'],"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",Lee Tamahori,"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']"
Poison Ivy II: Lily,"['Drama', 'Romance', 'Thriller']","A young and naive college art student becomes obsessed with assuming the identity and personality of a departed coed who used to live in her room, and in so doing causes complications that result in two men, a student and her art professor, lusting after her.",Anne Goursaud,"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']"
Three Colors: Red,"['Drama', 'Mystery', 'Romance']",Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.,Krzysztof Kieślowski,"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'Télévision Suisse-Romande']"
Three Colors: Blue,"['Drama', 'Music', 'Mystery']",A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieślowski,"['France 3 Cinéma', 'CED Productions']"
Three Colors: White,"['Comedy', 'Drama', 'Mystery']","Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.",Krzysztof Kieślowski,"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages']"
The Swan Princess,['Animation'],"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love.",Richard Rich,['Rich Animation Studios']
The Santa Clause,"['Fantasy', 'Drama', 'Comedy', 'Family']","Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas.",John Pasquin,"['Walt Disney Pictures', 'Hollywood Pictures']"
Tales from the Crypt: Demon Knight,"['Horror', 'Comedy', 'Thriller']",A man on the run is hunted by a demon known as the Collector.,Ernest R. Dickerson,"['Universal Pictures', 'Tales From The Crypt Holdings']"
Star Trek: Generations,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,David Carson,['Paramount Pictures']
Ace Ventura: Pet Detective,"['Comedy', 'Mystery']","He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!",Tom Shadyac,"['Warner Bros.', 'Morgan Creek Productions']"
Clear and Present Danger,"['Action', 'Drama', 'Thriller']",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Phillip Noyce,"['Paramount Pictures', 'Mace Neufeld Productions']"
The Crow,"['Fantasy', 'Action', 'Thriller']","Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.",Alex Proyas,"['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']"
The Flintstones,"['Fantasy', 'Comedy', 'Family']",Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,Brian Levant,"['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']"
The Lion King,"['Family', 'Animation', 'Drama']",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,Roger Allers,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
New Nightmare,"['Horror', 'Thriller', 'Mystery', 'Fantasy']","Freddy's back … and he's badder than ever! Nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son?",Wes Craven,['New Line Cinema']
The Mask,"['Romance', 'Comedy', 'Crime', 'Fantasy']","When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",Chuck Russell,"['New Line Cinema', 'Dark Horse Entertainment']"
The Naked Gun 33⅓: The Final Insult,"['Comedy', 'Crime']","Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.",Peter Segal,['Paramount Pictures']
Ri¢hie Ri¢h,"['Comedy', 'Family']","Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",Donald Petrie,"['Davis Entertainment', 'Silver Pictures', 'Warner Bros.']"
Speed,"['Action', 'Adventure', 'Crime']","Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",Jan de Bont,['Twentieth Century Fox Film Corporation']
Timecop,"['Thriller', 'Science Fiction', 'Action', 'Crime']","An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",Peter Hyams,"['Universal Pictures', 'Renaissance Pictures', 'Dark Horse Entertainment', 'Largo Entertainment', 'Signature Pictures', 'JVC Entertainment Networks']"
Street Fighter,"['Action', 'Adventure', 'Thriller']",Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,Steven E. de Souza,"['Universal Pictures', 'Capcom']"
The Fear,"['Horror', 'Thriller']",A weekend of 'fear therapy' turns into a nightmare of terror when a mannequin comes to life. Only those with the courage to confront their demons will survive.,Vincent Robert,"['A-Pix Entertainment', 'Devin Entertainment']"
Highlander: The Final Dimension,"['Action', 'Fantasy', 'Science Fiction']","Starts off in the 15th century, with Connor McLeod (Christopher Lambert) training with another immortal swordsman, the Japanese sorcerer Nakano (Mako). When an evil immortal named Kane (Mario Van Peebles) kills the old wizard, the resulting battle leaves him buried in an underground cave. When Kane resurfaces in the 20th century to create havoc, it's up to McLeod to stop him.",Andrew Morahan,"['Trans-Film', 'Initial Groupe', 'Lumière Pictures', 'Fallingcloud']"
Addams Family Values,"['Comedy', 'Family', 'Fantasy']","Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",Barry Sonnenfeld,"['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']"
Another Stakeout,"['Action', 'Comedy']","Chris and Bill are called upon for their excellent surveillance record to stakeout a lakeside home where a Mafia trial witness is believed to be heading or already hiding. Unlike their earlier _Stakeout_, this time they are accompanied by Gina Garret from the DA's office and her pet rottweiler 'Archie'; their cover, husband and wife with son Bill.",John Badham,['Touchstone Pictures']
Beverly Hills Cop III,"['Action', 'Comedy', 'Crime']","Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.",John Landis,"['Paramount Pictures', 'Eddie Murphy Productions']"
City Slickers II: The Legend of Curly's Gold,"['Action', 'Comedy', 'Drama', 'Western']","On Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately with Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.",Paul Weiland,"['Columbia Pictures', 'Castle Rock Entertainment']"
The Endless Summer 2,['Documentary'],"Bruce Brown, king of surfing documentaries, returns after nearly thirty years to trace the steps of two young surfers to top surfing spots around the world. Along the way we see many of the people and locales Bruce visited during the filming of Endless Summer (1966).",Bruce Brown,[]
Free Willy,"['Family', 'Adventure']","When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",Simon Wincer,"['Canal Plus', 'Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Donner/Shuler-Donner Productions']"
The Fugitive,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']","Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",Andrew Davis,['Warner Bros.']
Hard Target,"['Action', 'Adventure', 'Crime', 'Thriller']","When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",John Woo,"['Universal Pictures', 'Renaissance Pictures', 'Alphaville Films']"
Hot Shots! Part Deux,"['Action', 'Comedy', 'War']","Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",Jim Abrahams,"['Twentieth Century Fox Film Corporation', 'Sidley Wright & Associates']"
House Party 3,['Comedy'],"Hip Hop duo Kid &amp; Play return in the second follow-up to their 1990 screen debut House Party. Kid (Christopher ""Kid"" Reid) is taking the plunge and marrying his girlfriend Veda (Angela Means), while his friend Play (Christopher Martin) is dipping his toes into the music business, managing a roughneck female rap act called Sex as a Weapon. Play books the ladies for a concert with heavy-hitting pr",Eric Meza,[]
Jurassic Park,"['Adventure', 'Science Fiction']","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",Steven Spielberg,"['Universal Pictures', 'Amblin Entertainment']"
The Next Karate Kid,['Adventure'],"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",Christopher Cain,['Columbia Pictures Corporation']
RoboCop 3,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']","The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie.",Fred Dekker,['Orion Pictures']
The Secret Garden,"['Drama', 'Family', 'Fantasy']","A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and neglected. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",Agnieszka Holland,"['American Zoetrope', 'Warner Bros.']"
The Shadow,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",Russell Mulcahy,['Universal Pictures']
Blade Runner,"['Science Fiction', 'Drama', 'Thriller']","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Ridley Scott,"['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']"
The Brady Bunch Movie,['Comedy'],"The original 70's TV family is now placed in the 1990's, where they're even more square and out of place than ever.",Betty Thomas,['Paramount Pictures']
Home Alone,"['Comedy', 'Family']","Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",Chris Columbus,"['Twentieth Century Fox Film Corporation', 'Hughes Entertainment']"
Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']","Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",Ron Clements,['Walt Disney Pictures']
Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",James Cameron,"['Lightstorm Entertainment', 'Pacific Western', 'Canal+', 'Carolco Pictures', 'T2 Productions']"
